m1-rescan-value	a_string_value_is_not_scanned_again_for_interpolation	FAILED	45ec1a87	0	8318:             if let Some(s) = self.eval_str(&expanded).map(|s| self.interp_text(&s)) {	v_value_not_rescanned: sigil's image differs from asl's listing at $0 (asl 31 bytes, sigil 13):
m2-no-literal-fold	an_interpolation_is_folded_where_its_literal_is	FAILED	45ec1a87	0	4222:                 if raw.contains("\\{") && false {	v_interp_at_literal: sigil's image differs from asl's listing at $0 (asl 11 bytes, sigil 13):
m3-set-binds-call-string	a_function_result_bound_by_equ_keeps_its_integer_reading	FAILED	45ec1a87	0	4257:         let rest = &self.expand_calls(rest, 0);	v_fn_str_equ_int: asl assembles it, sigil refused: ["unresolved symbol `Z` in operand"]
m4-set-binds-unfolded-call	a_string_valued_function_bound_by_set_is_never_silently_wrong	FAILED	45ec1a87	0	4257:         let called = self.expand_calls(rest, 0);	assertion `left == right` failed: v_fn_full_str: sigil built an image asl's listing does not show (asl 4 bytes, sigil 15)
m5-interp-probe-unexpanded	a_string_valued_function_pastes_its_string_into_an_interpolation	FAILED	45ec1a87	0	4302:         let expanded = self.expand_calls(&toks, 0);	v_fn_in_interp: asl assembles it, sigil refused: ["string interpolation `\\{signedToString(-5)}` has no value here", "string interpolation `\\{signedToString($123)}` has no value here"]
m6a-lexer-closes-at-inner-quote	a_quote_inside_an_interpolation_belongs_to_it	FAILED	45ec1a87	0	161:             b'\\' if false && quote == b'"' && bytes.get(i + 1) == Some(&b'{') => {	v_interp_nested_quote: asl assembles it, sigil refused: ["invalid escape sequence `\\{`", "invalid escape sequence `\\{`"]
m6b-interp-ends-at-first-brace	a_quote_inside_an_interpolation_belongs_to_it	FAILED	45ec1a87	0	181:             b'"' | b'\'' if false => i = literal_end(bytes, i)? + 1,	v_interp_brace_in_quote: asl assembles it, sigil refused: ["unexpected character '}'"]
m7-paste-spelling	a_pasted_argument_is_its_decimal_value	FAILED	45ec1a87	0	3862:                     let pasted = match None::<i64> {	v_fn_paste_value: sigil's image differs from asl's listing at $B (asl 34 bytes, sigil 36):
m8-word-has-underscore-dot	a_parameter_word_is_letters_and_digits_only	FAILED	45ec1a87	0	3846:                 .find(|c: char| !(c.is_ascii_alphanumeric() || c == '_' || c == '.'))	v_fn_word_edges: sigil's image differs from asl's listing at $2 (asl 58 bytes, sigil 50):
m9-no-pasted-arg-check	a_string_or_float_argument_pasted_into_a_literal_is_refused	FAILED	45ec1a87	0	3973:                 if false && Self::literal_mentions(&body, param) {	v_fn_paste_str: asl refuses it, sigil built [28, 32, 34, 39, 33, 30, 29, EE]
m10-fold-const-no-int-builtins	a_string_valued_function_pastes_its_string_into_an_interpolation	FAILED	45ec1a87	0	3567:         let expanded = expanded;	v_fn_in_interp: asl assembles it, sigil refused: ["string interpolation `\\{signedToString(-5)}` has no value here", "string interpolation `\\{signedToString($123)}` has no value here"]
h1-concat-two-literals-only	a_chain_of_concatenations_folds_left_to_right	FAILED	45ec1a87	0	3418:         if let Some(parts) = split_top_plus(toks).filter(|p| p.len() == 2 && p.iter().all(|x| matches!(x, [Token { tok: Tok::Str(_), .. }]))) {	v_concat_chain: asl assembles it, sigil refused: ["operand 76332 out of range -128..=255", "operand 294 out of range -128..=255", "bad byte expression"]
h2-concat-captures-numbers	plus_over_non_strings_stays_numeric	FAILED	45ec1a87	0	3421:                 out.push_str(&self.eval_str(part).or_else(|| self.fold_const(part).map(|v| v.to_string()))?);	assertion `left == right` failed: the numeric `+` rows moved
h3-param-only-inside-interp	a_function_parameter_reaches_inside_a_string_literal	FAILED	45ec1a87	0	3861:                 Some(arg) => {	v_fn_str_body: sigil's image differs from asl's listing at $0 (asl 25 bytes, sigil 21):
h4-param-as-substring	a_function_parameter_reaches_inside_a_string_literal	FAILED	45ec1a87	0	3845:             let word_len = params	v_fn_str_body: sigil's image differs from asl's listing at $F (asl 25 bytes, sigil 29):
h5-paste-unparenthesised	a_function_parameter_reaches_inside_a_string_literal	FAILED	45ec1a87	0	3866:                     out.push_str(&pasted);	v_fn_str_body: sigil's image differs from asl's listing at $0 (asl 25 bytes, sigil 21):
h6-interp-bare-literal-only	an_interpolation_is_folded_in_a_computed_string	FAILED	45ec1a87	0	8262:                 match Ok::<Vec<Token>, (Span, crate::escape::EscapeError)>(called.clone()) {	v_interp_substr: sigil's image differs from asl's listing at $1 (asl 14 bytes, sigil 50):
h8-no-concat-at-all	sonic_1_signed_to_string_assembles	FAILED	45ec1a87	0	3418:         if let Some(parts) = split_top_plus(toks).filter(|_| false) {	signed: asl assembles it, sigil refused: ["bad byte expression", "bad byte expression", "bad byte expression", "bad byte expression"]
